guID,Date,Start Time,End Time,Event Name,Location,Category,Host,Event Description
35,7/21/2023,9:30 AM,11:00 AM,Dance Competition - REHEARSAL,Stage Uzume,Main Event,Tekko Staff,Rehearsal for Dance Competition! Stage Uzume is closed during this time.
36,7/21/2023,10:00 PM,12:00 AM,The Kigu Karaoke Pajama Party,Panel 2,Karaoke,Tekko Staff,Come in your fav and most comforatable Kigu. Relax and sing some karaoke
37,7/21/2023,9:00 PM,11:00 PM,Formal Ball,Formal Ballroom,Main Event,Tekko Staff,
38,7/21/2023,12:00 PM,1:00 PM,"Lesson: Tango / Foxtrot*
(noon to 12:45)",Formal Ballroom,Dance/Music,Tekko Staff,
39,7/21/2023,1:00 PM,2:00 PM,"Lesson: Waltz / Rumba
(1 to 1:45)",Formal Ballroom,Dance/Music,Tekko Staff,
40,7/21/2023,2:00 PM,3:00 PM,"Lesson: Hustle / Cha Cha*
(2 to 2:45)",Formal Ballroom,Dance/Music,Tekko Staff,
41,7/21/2023,3:00 PM,4:00 PM,"Lesson: Salsa / Merengue*
(3 to 3:45)",Formal Ballroom,Dance/Music,Tekko Staff,
42,7/21/2023,5:00 PM,6:00 PM,"Lesson: Tokyo Polka & Other Line Dances*
(5 to 5:45)",Formal Ballroom,Dance/Music,Tekko Staff,
43,7/21/2023,6:00 PM,7:00 PM,"Lesson: Swing
(6 to 6:45)",Formal Ballroom,Dance/Music,Tekko Staff,
44,7/21/2023,7:00 PM,8:00 PM,"Lesson: Waltz / Tango
(7 to 7:45)",Formal Ballroom,Dance/Music,Tekko Staff,
45,7/21/2023,9:30 AM,1:30 PM,Fashion Show Dress Rehearsal,Main Stage,Fashion,Tekko Staff,
46,7/21/2023,4:00 PM,6:00 PM,Fashion Show,Main Stage,Fashion,Tekko Staff,
47,7/21/2023,10:00 AM,11:00 AM,Twenty Years of Tekko AMVs,AMV,AMV,Tekko Staff,"We cannot believe it has been twenty years of Tekko, and twenty years of AMV content to dig into and show.  From classics to contest winners, these videos were at their best at Tekko(shocon)!"
48,7/21/2023,11:00 AM,1:30 PM,Early Bird AMV Contest (until 1:30 PM),AMV,AMV,Tekko Staff,"Our annual early peek at the AMV Contest!  Come on out to view our contest before our main showing, and vote on your favorites!"
49,7/21/2023,1:30 PM,2:15 PM,AMV 101: Bluay Edition (1:30 PM to 2:30 PM),AMV,Panel,Tekko Staff,"Would you like to know how to make your own AMVs?  Where do you start, and what do you need?  Learn how to make High Definition AMVs with our simple tips and tricks from award-winning creators with well over a decade of experience!"
50,7/21/2023,2:30 PM,3:15 PM,#REF!,AMV,Tekko Theme,Tekko Staff,"This year's theme is to bring some cute and cuddly to the end of things, and here is a showcase of how those things can (somehow) blend together!"
51,7/21/2023,3:30 PM,4:00 PM,These AMVs Love to ROCK! (starts at 3:30 PM),AMV,AMV,Tekko Staff,We bring the hard rock ballads and pop rock that will get you rocking out!
52,7/21/2023,4:00 PM,5:00 PM,AMVs Just Wanna Have Fun,AMV,AMV,Tekko Staff,This block is full of fun AMVs for everyone!
53,7/21/2023,5:00 PM,5:30 PM,"Leiji Matsumoto, A Retrospective (until 5:30 PM)",AMV,AMV,Tekko Staff,"The great man and his wonderful legacy, as told by the AMV community!"
