guID,Date,Start Time,End Time,Event Name,Location,Category,Host,Event Description
143,7/21/2023,7:30 PM,8:30 PM,An Introduction to IndyCar Auto Racing,Panel 5,Panel,Seana Anne Moucheron,"Hello one and all, did you enjoy the IndyCar Racing in the Rising Sun panel? If so, the sequel is here. This is much deeper look into the sport of IndyCar racing. If you want to learn how the racing itself works as well as the dynamics of the drivers, teams, and championships, you've come to the right place. Let's drink some milk like it's the month of May!"
144,7/21/2023,9:00 PM,10:00 PM,I Really Like Gengar and I'd Like to Talk about Him for Maybe an Hour?,Panel 5,Panel,Risuruuu,"Do you have a favorite Pokemon? Well, I do. And I love him a lot. Like, a LOT a lot. He is my joy, my laughter, my comfort. My fat purple son, Gengar. So I just wanna talk about him for a bit if that’s cool? Come by and we’ll go over lore, appearances, his widdle feets, and most importantly, appreciation for this smiley lil’ dude!"
146,7/21/2023,10:30 PM,11:30 PM,893:  A History of Organized Crime in Japan (18+),Panel 5,Gakkou Panel,Todd Koons,A crash course in the history and how the Yakuza world in the real world
147,7/21/2023,3:00 PM,4:00 PM,Armor Academy: Chainmail,Panel 6 (Workshops),Workshop,Alyxe Khei,"In this panel, we will teach you the basics of European style chainmail weaving and leave you with a small pieces crafted by your own hands. Their will be a 15 dollar materials fee to participate, but any are welcome to watch.
"
148,7/21/2023,4:00 PM,5:00 PM,Armor Academy: Scale Armor,Panel 6 (Workshops),Workshop,Alyxe Khei,"In this panel, we will teach you the fundamentals of making scale armor, and leave you with a small piece made by your own hands. Their will be a 15 dollar materials fee to participate, but any are welcome to watch."
149,7/21/2023,5:00 PM,6:00 PM,"DIY Leathercraft: Studs, Spikes, and Safety Pins",Panel 6 (Workshops),Workshop,Alyxe Khei,"Come learn the noble art of putting spikes in things, the basis of DIY goth and metal fashion; bring and old leather jacket you'd like to work, or customize a pair of fingerless leather gloves provided by the workshop. There will be a 20 dollar materials fee to participate, but any are welcome to watch."
150,7/21/2023,8:30 PM,11:00 PM,J Fashion Swapmeet,Panel 6 (Workshops),Workshop,Tekko Staff,Are you missing a headbow for an otherwise spotless coordinate? Looking for your first set of blouses or a JSK? Or are you looking to let go of some well-loved pieces that don’t quite go with your wardrobe anymore? Then Tekko’s J-Fashion Night Market is the place for you! 
151,7/21/2023,6:30 PM,8:00 PM,Let's Talk Textiles! An Intro to Fabrics for Cosplay,Panel 6 (Workshops),Workshop,Carlettecore,"Knit or woven? Bias? Fiber content? What needle should I use? What's the best fabric for my project? If you find yourself asking these questions about fabric, this panel is for you!  "
152,7/21/2023,2:00 PM,3:00 PM,Kendo Demo & Q&A with Pittsburgh Sword Fighters,Hall Stage,Main Event,Pittsburgh Swordfighters,Watch in awe as some of the Pittsburgh Sword Fighter's finest members take the Hall Stage to demonstrate their kendo skills. Be sure to bring your burning questions for after the demo!
153,7/21/2023,3:00 PM,5:00 PM,Identify the H,Panel 7 (18+),18+,L-Dragon,"Welcome to Identify The H! A game show with a simple premise. Watch the short clip and guess, is it from a hentai or not?"
154,7/21/2023,7:00 PM,8:30 PM,Behold Corn! A Yaoi Panel,Panel 7 (18+),18+,Punny Panels,"Semes, ukes and switches. Oh my! If you love to see two guys together, this panel is for you. Punny Panels is ready to share their favorite yaoi manga and anime, so come squeal over bishonen with us."
155,7/21/2023,5:30 PM,6:30 PM,Cursed Fanfiction Read-Along,Panel 7 (18+),18+,CowboySimpCos,"Ever snuggle in for the night to read some good-old fashioned fanfiction, but you open Ao3 and your only reaction is ""WHAT?!"" This panel is for you! We'll be going over some of my personal favorite cringe-inducing and hair-raising pieces of fan literature as well as having audience participation as you read along to both all ages and...more explicit fanfics! "
156,7/21/2023,10:30 PM,11:30 PM,Let's Talk about the Omegaverse 18+,Panel 7 (18+),18+,The Omegas,"Have you heard about the Omegaverse, but aren't sure what it is? Or are you a huge Omegaverse fan and what to learn more? Come join this panel to learn and talk about the Omegaverse! We will be learning about the history of Omegaverse, anatomy, hierarchies, and more, plus a Kahoot at the end to test your knowledge. This is a safe space for all omegaverse lovers and those who want to learn more, so don't be afraid to attend!"
157,7/21/2023,11:00 AM,11:15 AM,Attendee Performance (nici),Stage Uzume,Dance/Music,Tekko Staff,
158,7/21/2023,12:00 PM,1:30 PM,Dance Gathering Meetup,Stage Uzume,Dance/Music,Tekko Staff,
159,7/21/2023,4:30 PM,5:15 PM,Attendee Performance (GxG Wolf),Stage Uzume,Dance/Music,Tekko Staff,"GxG Wolf is a nerdcore musician and rapper based out of Florida. Wolf started his rap career after founding his group WolfPackCol, and ever since then has been focused on improving not just his own craft but his family's as well. Wolf has been using anime, comic books, and video games to deliver a nerdcore experience unlike any other. Come see Wolf perform at Stage Uzume!"
160,7/21/2023,6:30 PM,7:30 PM,Random Dance Play,Stage Uzume,Dance/Music,Tekko Staff,"Come join fellow KPOP fans at this random play dance! There will be a variety of artists place such as ITZY, BTS, NEW JEANS, lots of TWICE, SEVENTEEN, and more! No dancing experience required, just come and have fun!"
161,7/21/2023,8:00 PM,10:00 PM,Kpop Dance Party (ft. imyoonotyou),Stage Uzume,Dance/Music,Tekko Staff,
162,7/21/2023,10:30 PM,12:00 AM,Kpop Chill Hours,Stage Uzume,Dance/Music,Tekko Staff,
163,7/21/2023,1:00 PM,2:00 PM,Meet the NPC,Meet Ups,N/A,The NPC,"Need more to do at the Convention, look no further. The NPC is looking for people to go on Quests during their time at the Convention. Are you ready?"
164,7/21/2023,8:00 PM,9:00 PM,Introduction to Yōkai in Anime,Tekko Gakkou,Gakkou Panel,Lexi Jeanne,"Come learn about Japanese yōkai, folklore history, and its place in anime. "
166,7/21/2023,9:30 PM,10:30 PM,The Wokeness of Ouran High School Host Club,Tekko Gakkou,Gakkou Panel,Black Hole Production,"Ouran is more than a reverse harem shojo anime, it's an exploration of gender roles and identity. Its lessons apply to our understanding of gender identity in other anime, movies, and in daily life."
167,7/21/2023,7:30 PM,8:30 PM,Resurrection: Dead Fandoms,Meet Ups,N/A,Fin H,Ever feel like you've jumped on an anime after it hit its peak? Still in love with a franchise that no one else seems like be into? Let's talk about that and more. What fandoms should we bring back? What fandoms should stay dead? 
168,7/21/2023,7:30 PM,8:30 PM,Meow at me Senpai-Cat themed anime,Panel 8,Panel,Kawaii Neko Productions,Nyan! Looking for an anime starring everyone's favorite animal? Of course you are! Join us as we talk about anime made for cat lovers! Nyan
169,7/21/2023,1:00 PM,2:30 PM,LET'S GO Salty Bet! ,Panel 7 (18+),Gameshow/Game,vougz and qixa,Come watch worlds collide in the computer controlled fighting game experience that is Salty bet! Choose your side and cheer for which fighter you think will win. Watch fights such as Elmo Vs Vegeta!
170,7/21/2023,6:30 PM,7:30 PM,Anime Name that Tune: Nightmare Difficulty ,Gameshows! (Panel 3),Gameshow/Game,Emil,"Calling all name that tune experts! If you've completed every name that tune on YouTube with ease and you want to test the limits of your knowledge, this panel is made to push the limits of what you know and can recognize. "
171,7/21/2023,1:00 PM,2:00 PM,What Are We Reading on Webtoon,Panel 8,Panel,Laura,"With the growing popularity of webcomics, join us as we dive in to the wonderful world of Webtoon. We will go over how the site works, series recommendations and the best way to support the creators."
172,7/21/2023,10:30 PM,11:30 PM,Knewlore presents: Oh The Horror,Panel 8,Panel,Knewlore,"With fewer and fewer humans believing in yokai, these beings are fading out of existence. As a last ditch effort to survive, a small group of misguided monsters flee to America – the land of opportunity… and hopefully the easily frightened."
173,7/21/2023,9:00 PM,10:00 PM,Advanced Lolita Substyles,Panel 8,Fashion,Blix,"You've heard of Country Lolita, but what about Country/Western Lolita? This fun panel will be substyles and coordination themes that a 101 panel typically doesn't have time to cover."
174,7/21/2023,9:00 PM,11:00 PM,Seduce Me A Slumber Party (18+),Meet Ups,N/A,Kera,"With so many to choose from Mystic Messenger to Obey Me to Dream Daddy to Hooked On You and so many more join 707 and Leviathan to sit and talk about your favorite Dating Sims, maybe even play a few games: Truth or Dare, Cards Against Humanity, What Do You Meme, etc, bring your own game(s) if you'd like! Dress in PJs or cosplays or whatever, bring a blanket if you want! Just a fun after dark experience with people who love games about love! 18+"
175,7/21/2023,10:30 AM,11:30 AM,Trauma in Anime,Tekko Gakkou,Gakkou Panel,Jennifer Palmquist,Ever wondered what role trauma plays in how your favorite anime characters behave or respond to situations? This panel will explore facets of trauma and what it can look like for the individual experiencing it as well as what it can look like for others around them. (working description)
176,7/21/2023,11:00 PM,12:00 AM,Anime For Big Kids,Tekko Gakkou,Gakkou Panel,Katy Scarlet,"(Suggested age 16+) Growing up is hard, but you're never too old for anime! Join us for a look at Coming of Age anime and Manga in ""Anime for Big Kids""!!"
177,7/21/2023,11:30 AM,12:30 PM,Anime Conventions of Years Past,Panel 8,Panel,N/A,"Ever wondered about what Anime Cons were like before the modern day, and how they came to be the way they are today? Come to learn what it was like to go to a con at different points in the past"
177,7/21/2023,10:00 PM,11:00 PM,Law and Cosplay,Panel 9 (Cosplay),Cosplay,Bee (@law_of_cosplay),"Hi there! My name is Bee, and I am currently a 1L in law school! I'm also an avid anime fan and cosplayer! Come discuss time management, law school strategies, professionalism, and how to work in a very formal profession while still being true to yourself."
178,7/21/2023,4:30 PM,5:30 PM,Gambler's Den 18+,Meet Ups,Gameshow/Game,Bee (@law_of_cosplay),Have you ever wanted to test your luck against the king of the undead? This is your chance! Join Hua Cheng and Xie Lian in the gamblers den for a night of games and homosexual activities. Just make sure you're prepared to lose a finger… 
179,7/21/2023,2:30 PM,3:30 PM,"Pop Ramen & Fuzion Games Present: The ""How To Make a Game Show Panel"" Panel",Panel 8,Panel,Pop Ramen & Fuzion Games,"Want to join the Tekko Game Show Host Club? (kiss kiss hands on buzzers) Get some inside info from hosts who have over 20 years of combined panel experience. From the basics to the art of the game, you'll be a winner in no time!"
180,7/21/2023,3:00 PM,4:00 PM,Contact Safety 101: How to properly pick and wear Cosplay Contacts ,Panel 5,Cosplay,Operacosplay ,Cosplay Contacts can be a major safety hazard if the correct actions and brands are not chosen. Join your local microbiologist in discuss the risk factors and right way in choosing contacts for your next cosplay 
181,7/21/2023,9:00 PM,10:00 PM,Gyaru of Love! The Dating Game,Panel 7 (18+),Gameshow/Game,109 Degrees Gyaru-sa,"It’s almost time for the Beach Episode and it looks like you need a partner for your Baecation! Let's play Tekko's favorite Dating game, Gyaru of Love! Our eligible Gyaru are looking for the one. Someone who can pay for their nails, dance para para, and bring home the Alba Rosa. You, our lucky contestant, will choose your date based off a series of questions answered by our lovely Gals. Can true love be found at an anime convention? Will you accept this lei necklace as a token of our love? Find out at Gyaru of Love! The Dating Game.
"
182,7/21/2023,4:00 PM,5:00 PM,So you wanna get into Speedrunnig?,Panel 8,Panel,Risuruuu,"This one’s for all the Games Done Quick viewers and speedrun enthusiasts who have been teetering back and forth about actually speedrunning their favorite games. Join Sonic series speedrunner Risuruuu to learn about how to take those very first steps into the world of playing games fast! Topics covered will include selecting games, timing and recording your runs, and getting your name on some leaderboards! "
183,7/21/2023,6:30 PM,7:30 PM,I Read Danmei Once and Never Went Back (18+),Tekko Gakkou,Gakkou Panel,Eion,Dive into danmei where we got everything you’re looking for in your Boy’s Love. Angst? We got angst. Wholesome? We got wholesome. Revenge? We got revenge too! To top it all off of course we got men. Just make sure you have your box of tissues because you’ll need them for the rollercoaster of emotions that is danmei.
184,7/21/2023,3:00 PM,4:00 PM,IndyCar Racing in the Rising Sun,Tekko Gakkou,Gakkou Panel,N/A,"Let's take a look at the history of IndyCar Racing with Japan! We'll look at drivers, tracks, teams, and historic moments like Danica Patrick being the first woman to win a race during IndyCar in Japan! If you're new to IndyCar, you'll get a quick refresher of what it is and entails so come on by, one and all!"
185,7/21/2023,4:30 PM,6:00 PM,Mental Health in Anime and Gaming,Tekko Gakkou,Gakkou Panel,Lucky 13 Cosplay Studios,"The world of anime and gaming is full of many themes and topics. One of those is the use of mental health disorders in a characters story. Come learn about the different animes and games that include themes of mental health disorders such as PTSD, Depression, anxiety, and more. NOTE: Content warning as serious subjects will be talk about."
186,7/21/2023,1:30 PM,2:30 PM,Gods and Historic Figures: As Only Anime Can Portray Them,Tekko Gakkou,Gakkou Panel,Consider the Nonsense,"Join us to learn about the time Joan of Arc was a Magical Girl, the time Oda Nobunaga piloted a giant robot, the time Jesus and Buddha were roommates, and more. We’ll try to give you something new to enjoy, and maybe we’ll all learn something in the process."
187,7/21/2023,6:00 PM,7:00 PM,All About Gundam Models,Panel 8,Panel,Consider the Nonsense,"You hear the word ""Gunpla"" but you don't know what it is. Well stop on by and get a crash course in the world of Gundam models and how you can join a community that spans decades."
188,7/21/2023,10:00 AM,11:30 AM,I Think We're Alone Now,LARP 1,LARP,Tekko Staff,"Our story begins with our team on the run, having just stolen an item of critical significance from a nefarious group of pursuers who seeks to eradicate those who are not like them. The team has finally found a spot to hide for the current time. But they are not safe. Their hiding place is still within the confines of the pursuers’ facility. The pursuers are no doubt closing in and will find them at any moment. 

Because any sound could lead the pursuers to find them, THIS GAME IS PLAYED IN ABSOLUTE SILENCE. Players must find non-verbal ways to communicate with their teammates in planning their escape or course of action. "
189,7/21/2023,10:00 AM,11:30 AM,The Hench Union,LARP 2,LARP,Tekko Staff,"Twelve days ago, the henchfolk of renowned supervillain Professor Von Doctor voted to unionize. PVD threatened to fire everyone if they tried, so they stole one of his doomsday devices and demanded a contract negotiation.

Today’s the day. Time to bargain."
190,7/21/2023,11:30 AM,1:30 PM,Adult Survivors of Cinematic Childhood Trauma ,LARP 2,LARP,Tekko Staff,"Adult Survivors of Cinematic Childhood Trauma is set at the first meeting of a public group therapy session. All of the characters are adults who, as children, were involved in fantastic adventures taken from popular movies. They may have been chased by dinosaurs, or been kidnapped by a goblin king, or jumped into chalk paintings, or could see dead people … for example.

They have grown up having to deal with the mental repercussions of their childhood adventures in a world where people will be unlikely to believe their stories. They will have triggers and will be encouraged to discuss their trauma. It is possible that parts of the larp will become loud and intense."
191,7/21/2023,8:00 PM,10:00 PM,The Importance of Being Convergent,LARP 1,LARP,Tekko Staff,"Tetrana is a small but ancient and prosperous kingdom. Its most distinctive feature is its strong caste system, which divides every individual into a rigid caste based on affinity to one of the four elements: Air, Fire, Water, or Earth. Each caste has rigidly defined roles and a strict place in the social hierarchy.

Most unusually, however, every 100 years a mystical Convergence of the four elements reshapes the structure of Tetranan society, allowing the caste hierarchy to be realigned! This is obviously a most important event, and you are privileged to represent one of the four castes at the Convergence, with the power to determine if a Realignment will occur. You do this, of course, by using your elemental gems to summon your spirit butterfly. Because everything about Tetrana makes perfect sense.

Of course, it'd be highly improper for anyone to pretend to be a member of a caste they are not, and especially so at such an important event that will decide the future of the country for the next century. So you have every assurance that everyone is exactly who they appear to be.

The Importance of Being Convergent is a short game of politics, secret identities, and romance, but primarily ridiculousness. It won 2nd place in the Iron GM contest at Intercon N. It is optimized more for roleplaying, humor, and dramatic scenes than for cutthroat competition, and has few mechanics."
192,7/21/2023,2:00 PM,4:00 PM,A Very Merry Board Meeting,LARP 1,LARP,Tekko Staff,"You are Santa’s Elves! Each player will be taking on the character of a North Pole elf, working in one of the departments essential to making The Big Day function on behalf of The Big Guy (Good old Saint Nick, Krisingle, Santa Claus himself). The game is meant to engage solely with the secular side of the Christmas holiday, and the elves themselves do not observe Christmas.

The North Pole is about to enter the busiest time of the year- it is the day after Thanksgiving, and the day of the annual Board Meeting, where all of the departments meet to go over final plans and resource allotment before the last big push. Before this meeting, the departmental work has been guided by the Heads of each department, hoping to make their goals and show their progress at the big meeting. The Heads, any Assistants, and Interns (it’s a good learning opportunity!) are the only elves who attend and will later direct the other elves in what needs to be done. The big decision to be made is who is going to handle Wrapping, as there is no department who has direct oversight of the increasingly difficult job. Everything must be decided by the time the Big Guy visits the meeting.

Elves are never negative about anything. Everything is the best idea ever. No one has ever done anything wrong. Everyone is just the bestest of friends. All problems can be fixed, and no one should ever be without a smile. Some elves have managed to turn this positivity into a shield or a weapon, while others long to break free of its grasp- but doing so would undoubtedly have terrible social and career consequences. Not all elves like each other, and there are tensions between many of the departments and sometimes even within the department. Some elves are stuck doing jobs they have come to despise, and others are just sick of keeping up appearances.

So have the very merriest of board meetings, my elfin friends! I’m sure it’s all going to go just wonderfully!"
193,7/21/2023,2:00 PM,3:30 PM,This is Fine,LARP 2,LARP,Tekko Staff,"You are at a networking event during a Very Important Business Conference. Out in the real world, the literal apocalypse is happening. Meanwhile, you really, really need that job. Fortunately for you, a Very Important Business Dude is about to give a Very Important Business Talk, and rumor has it that his company is hiring! Can you successfully network your way to the top and get that interview you so desperately need to survive? Until the world ends at least..."
194,7/21/2023,4:00 PM,5:00 PM,🌸⚔️Slow Motion Anime Duel⚔️🌸,LARP 1,LARP,Tekko Staff,"A game for sets of 2-4 players about participating in a drawn-out and very dramatic conflict. As the title suggests, the duel can be a sword fight or martial arts battle – but it can also be something like an intense cooking competition or a children’s card game. If it makes you go “huh, I bet there’s an anime about that,” it’s a fair subject for Slow Motion Anime Duel!"
195,7/21/2023,3:30 PM,5:00 PM,CON/fused,LARP 1,LARP,Tekko Staff,"In this game, informal play at a convention allows somebody to steal the spotlight. Or at least try to steal the spotlight. Very little prep required. Play with friends or strangers in sets of 3-4! :)"
196,7/21/2023,4:00 PM,5:30 PM,Hemophiliacademics,LARP 2,LARP,Tekko Staff,"""What strengths do you bring to the program?"" 
""Do you have experience with traditional education as we understand it today? Tell us about it.""
 ""How do you plan to be a role model to other undead applicants and scholars?""

 It is present day.Vampires are real.Vampires have been exposed publicly in the last year. Vampires now flock to academia for safety, a food supply, careers, and friends. Any vampire who does not get accepted into academia is fair game for hunters, priests, and mobs alike.

You are a vampire, or a human, or a dhampir. You are either an interviewer on a panel for a private university, interviewing applicants for a brand new special vampiric graduate student program -- or else you are being interviewed. All of you know this is a matter of life and death, as well as academic enrichment.

 Hemophiliacademics is a tense chamber LARP about academia, vampires, and prejudice. The game includes safety rules and premade characters for ease of play."
197,7/21/2023,5:00 PM,7:00 PM,The Court of Ferns,LARP 1,LARP,Tekko Staff,"The Court of Ferns is a hilarious bureaucratic nightmare. It plays with frustration in a truly absurdist way and, as is fitting with the bureaucratic theme, uses signage as an in-game means to introduce additional players into the mix. This game is wonderfully silly and approachable for players who might be wandering by wondering what on earth they are witnessing."
199,7/21/2023,5:30 PM,7:30 PM,A Game of Secret Societies,LARP 2,LARP,Tekko Staff,Who can be the best secret agent and spy? Each player is a member of one or more secret societies. Each secret society has a secret phrase. The object for each player is to figure out the most secret phrases by observing the other party members and trying to blend into the different secret societies. How well can you do? 
200,7/21/2023,6:00 PM,7:30 PM,Too Many Mediums,LARP 1,LARP,Tekko Staff,"What happens when your seance is overloaded with Mediums? Well, it can get pretty loud, and the ghosts of the beyond usually tend to sound a lot like rowdy game convention attendees. 

Too Many Mediums is a comedic freeform game meant to be played in a noisy convention hall for four players and, of course, plenty of unwitting audience participation."
201,7/21/2023,7:30 PM,9:00 PM,Triple Blind,LARP 2,LARP,Tekko Staff,A diplomatic scenario takes a turn for the unusual. This experimental LARP contains 9 characters split into thirds. The characters are randomly distributed so that even the GM doesn't know who is actually whom. Designed to run without a GM.
202,7/21/2023,12:00 PM,2:30 PM,SLASH,LARP 1,LARP,Tekko Staff,"A Hellmouth has opened in Mount Laurel, New Jersey and sixteen well known characters have come from across space and time to close it. Snape/Harry. Kirk/Spock. Angel/Xander. Mary Sue/Everyone. 
A very silly and brain breaking game playing off of fandom and popular tropes.

This game requests prior registration. This game has detailed character sheets and minor costuming suggestions. Players that sign up in advance and are assigned a character before the event will have more time to become familiar with their characters, as well as costume themselves appropriately.

Please see the LARP department as soon as possible if you are interested in playing to sign up! :) "
203,7/21/2023,9:00 PM,10:30 PM,Skeleton Song,LARP 2,LARP,Tekko Staff,"""If you're going to write a game about serial killers ... play this one first."" -fia glas

Your name was on the front page. You were a victim with a number. One, two, three, four, five. When they caught him, your Killer’s full name was splashed across the front page too, along with smaller pictures of the rest of his victims. They wrote hundreds of words dedicated to his motives: what he wanted, why he wanted it, how could such a monster exist among us. You were relegated to his kills, his trophies. He captured the public imagination.

They haven’t heard you since you went missing. Your voice was snuffed out, or added to the background noise of the Killer’s glamour. You became a part of him, part of his past, his present, and his future.

A feminine horror LARP about reclaiming your personhood in the face of someone who wants to take it away, even beyond death.

Note: This game is about trauma inflicted on the bodies and minds of victims by a male serial killer. While the focus is not on the details of the murders, themes of sexual violence, other physical violence, abuse, gaslighting, and death may crop up in game. Please see the safety notes in game for suggestions on how to handle these themes responsibly.

This game deals with adult content and is not recommended for minors."
204,7/21/2023,10:30 PM,12:00 AM,hack/Enhance,LARP 1,LARP,Tekko Staff,"You play hackers-for-hire in the office of your staffing agency. You spend your downtime chatting about work, personal lives, and doing a bit of trash talk. When your pager goes off, it means another team of professional criminals has a job for you doctoring security footage. it’s time to spring into action. Head to one of the two hacking terminals in the office and HACK! 

If you do well, you go up on the leaderboard, if you don’t, well… not everyone’s cut out for the freelance hacker life."
205,7/21/2023,10:30 PM,12:00 AM,Crypt Kickers,LARP 2,LARP,Tekko Staff,"Half a century has passed since the infamous ""Monster Mash"" took place. Now, the original planner's grandchild wants to host a party with the all the same guests. Gather for this monstrous committee LARP and decide where to host an unforgettable Halloween bash. 

The challenge? Everybody must agree on the place, otherwise the party doesn't happen. Dim the lights, cue up the music, and negotiate for a hideous celebration. This is Crypt Kickers."
206,7/21/2023,9:30 AM,1:00 PM,D&D 5e: Faren's Rest,RPG 1,RPG,Tekko Staff,"An unnatural drought leads to a series of betrayals and disasters that threaten the very fate of the heavenly court. This adventure is derived from the Japanese classic text ""Kojiki: A Record of Ancient Matters"""
207,7/21/2023,9:30 AM,1:00 PM,D&D 5e : Magic Treening,RPG 1,RPG,Tekko Staff,"Set in the Diadem campaign setting. You have been chosen by Isekai to represent your home worlds during the instability of magic. However, there is just one problem: You are not skilled in magic, or may have dedicated your whole life to the martial arts or melee combats instead! Let the magic treening commence!"
208,7/21/2023,9:30 AM,1:00 PM,PF2 Mod: Little Trouble in Big Absalom,RPG 1,RPG,Tekko Staff,Always living in the shadows is hard when you're a clever and regal creature like a kobold. Now it's time to make a name for yourself and bring honor and prestige to your clan.
209,7/21/2023,9:30 AM,1:00 PM,Exhalted: The Fall of Thorns,RPG 1,RPG,Tekko Staff,"It has been one year since the disappearance of the Scarlet Empress. Her Realm is now slowly starting to implode, the noble families of her great Dynasty vying for control. Those satrapies that cannot provide immediate benefit to the Great Houses are left to fend for themselves, and this sadly includes the great jewel of the near-East - the beauteous city of Thorns. For the Deathlord known as the Mask of Winters is on his way to claim it as his new capital of undeath, knowing few remain to stand against him."
210,7/21/2023,2:00 PM,6:00 PM,D&D 5e Bakery Disaster,RPG 1,RPG,Tekko Staff,"A modern setting of DnD. In a strange town, where nothing is quite right but never wrong, mysterious shipments of baked goods have been appearing. They're not from any of the bakeries known in the town, and no one can tell where they come from. One such bakery in town, Cafe Au Lait, noticed that their early morning shipments of ingredients and fruits have been swapped out with these mysterious pastries. As concerned citizens of this town, the party decides to investigate, and perhaps find themselves in a food fight."
211,7/21/2023,2:00 PM,6:00 PM,D&D 5e: Bears and Botany,RPG 1,RPG,Tekko Staff,"In the sleepy town of Stillwater, an extraordinary phenomenon unfolds unbeknownst to its inhabitants. A magnificent tree, nestled at the heart of the community, Little do they realize that the melody is the clandestine source draining their life force. Unraveling the mystery, the player characters embark on a perilous quest, aiming to discover the true nature of the singing and find a way to liberate Stillwater from its insidious grip. Time is of the essence as they race against the fading life force of the townfolk, striving to restore balance without revealing the tree's malevolent secret."
214,7/21/2023,2:00 PM,6:00 PM,"PF2 Mod: Menace Under Otari, Part 1: Upper Level (from PF2 Beginner Box)",RPG 1,RPG,Tekko Staff,"Word has begun to spread around Otari that there’s a problem down at the Otari Fishery. Some are saying that some sort of beast is lurking in the basement, feeding on the stores of salted fish. Folks are worried that whatever is eating the fish might get hungry enough to eat the fishers next!"
215,7/21/2023,2:00 PM,6:00 PM,D&D 5e: Pirates of Avaeus Part 1,RPG 1,RPG,Tekko Staff,"Southwest of Avaeus, lies The Devil's Maw. Pirates are rampant and so is treasure. But while there's no traditional law here...the Pirates have their own way of running things. Welcome to the Devil's Maw."
216,7/21/2023,7:00 PM,11:00 PM,D&D 5e: Bears and Botany,RPG 1,RPG,Tekko Staff,"In the sleepy town of Stillwater, an extraordinary phenomenon unfolds unbeknownst to its inhabitants. A magnificent tree, nestled at the heart of the community, Little do they realize that the melody is the clandestine source draining their life force. Unraveling the mystery, the player characters embark on a perilous quest, aiming to discover the true nature of the singing and find a way to liberate Stillwater from its insidious grip. Time is of the essence as they race against the fading life force of the townfolk, striving to restore balance without revealing the tree's malevolent secret."
217,7/21/2023,7:00 PM,11:00 PM,D&D 5e: Magic Treening,RPG 1,RPG,Tekko Staff,"Set in the Diadem campaign setting. You have been chosen by Isekai to represent your home worlds during the instability of magic. However, there is just one problem: You are not skilled in magic, or may have dedicated your whole life to the martial arts or melee combats instead! Let the magic treening commence!"
218,7/21/2023,7:00 PM,11:00 PM,PF2 One-Shot #4: Mark of the Mantis,RPG 1,RPG,Tekko Staff,"The Red Mantis assassins are one of the most feared organizations on all of Golarion, for their reach is far and their methods effective. When several of Absalom’s councilors from the Petals District turn up dead, all evidence points to Red Mantis responsibility."
218,7/21/2023,7:00 PM,11:00 PM,D&D 5e: Pirates of Avaeus Part 2,RPG 1,RPG,Tekko Staff," Southwest of Avaeus, lies The Devil's Maw. Pirates are rampant and so is treasure. But while there's no traditional law here...the Pirates have their own way of running things. On the island of Canis, there is an arena where people fight for freedom or glory. Will you win? Or will you die?"
219,7/21/2023,7:00 PM,11:00 PM,Star Wars Edge of Empire: Beginner Box,RPG 1,RPG,Tekko Staff,"In a Galaxy Far, Far Away... Star Wars EotE is basically the players play as the ""scum and villainy"" of the universe. Bounty hunters, smugglers, explorers, settlers. Not the Jedi, not the Troops. More like Boba Fett, Han Solo, Owen and Beru, etc. Sequel adventure if I get multiple sessions of the same players."
220,7/21/2023,3:00 PM,4:00 PM,Origami Workshop (Ages 12 and under),Chibi,Panel,Genkage,"This is a panel for those who have never tried Origami (The Japanese art of folding paper) before, but were always curious.  Origami paper will be provided. Kids age 12 & under and their families welcome."
220,7/21/2023,7:00 PM,8:00 PM,PSF Demo,Hall Stage,Industry Guests,Dueling Pisces,
221,7/21/2023,11:30 AM,12:30 PM,Beyond the Sword: Tackling Weird and Whacky Cosplay Details,Panel 9 (Cosplay),Cosplay,Ashasauros,"So you've learned the cosplay basics, you may have even made a sword or two! But yet another anime or video game character wanders into your life with a strange gem in their chest, a fancy gadget, or a furry head. Join us to learn some tips and tricks for tackling all the weirdest cosplay details to up your crafting game and make the whacky details a little less scary!"
222,7/21/2023,1:00 PM,2:00 PM,Dyework & Fabric Painting,Panel 9 (Cosplay),Cosplay,Lady Cels,
224,7/21/2023,2:30 PM,3:30 PM,Crossplay...for guys!,Panel 9 (Cosplay),Cosplay,MelPool,"Ever wanted to cosplay your favorite waifu? Come learn everything you would need to know to cosplay any and every character! Topics include choosing your character, makeup, padding, posing, and more!"
225,7/21/2023,4:00 PM,5:00 PM,It Has Pockets!: Cosplay Logistics,Panel 9 (Cosplay),Cosplay,Lutavia,"Join Lutavia Cosplay in learning to make your costumes more mobile, easily repairable, and more comfy for any climate! From gowns to armor, learn tips and tricks for rigging, attachments, and more."
226,7/21/2023,5:30 PM,6:30 PM,The Last 10% ,Panel 9 (Cosplay),Cosplay,Lady Cels,"Ready to take your cosplay game up a notch? In this panel, we’ll learn how to level up your sewing with finishing techniques."
227,7/21/2023,7:00 PM,8:00 PM,Yes You CAD: Intro to 3D Modeling,Panel 9 (Cosplay),Cosplay,StarsOfCassiopeia,"Join StarsOfCassiopeia, cosplay guest & pro engineer, to learn various types of 3D modeling, designing for printing/assembly, outsourcing if you don’t have a printer, & a step-by-step modeling demo!"
